era,trkiso,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_cms,status_pass_cms,status_fail_cms,eff_exp,err_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc
postBpix,normal,seed,EB_R9_0p50to0p55,0.0,35.0,0.7468,0.0039,0,0,0.7472,0.0031,0,4,0.0004,0.00392
postBpix,normal,seed,EB_R9_0p50to0p55,35.0,37.0,0.904,0.0021,0,0,0.904,0.0033,0,0,0.0,0.0021
postBpix,normal,seed,EB_R9_0p50to0p55,37.0,40.0,0.9104,0.0029,0,0,0.9105,0.003,0,0,0.0001,0.002902
postBpix,normal,seed,EB_R9_0p50to0p55,40.0,45.0,0.9278,0.0012,0,4,0.9277,0.0022,0,4,0.0001,0.001204
postBpix,normal,seed,EB_R9_0p50to0p55,45.0,50.0,0.9389,0.0033,4,0,0.9364,0.003,0,0,0.0025,0.00414
postBpix,normal,seed,EB_R9_0p50to0p55,50.0,60.0,0.9365,0.0068,0,0,0.9422,0.0042,4,4,0.0057,0.008873
postBpix,normal,seed,EB_R9_0p50to0p55,60.0,70.0,0.9332,0.0124,0,4,0.9487,0.018,0,0,0.0155,0.01985
postBpix,normal,seed,EB_R9_0p50to0p55,70.0,90.0,0.9554,0.0224,4,0,0.9433,0.0288,0,0,0.0121,0.025459
postBpix,normal,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9638,0.0256,0,0,0.9704,0.02,4,0,0.0066,0.026437
postBpix,normal,seed,EB_R9_0p55to0p85,0.0,35.0,0.8072,0.001,0,0,0.807,0.0007,0,4,0.0002,0.00102
postBpix,normal,seed,EB_R9_0p55to0p85,35.0,37.0,0.933,0.006,0,0,0.9291,0.0009,0,4,0.0039,0.007156
postBpix,normal,seed,EB_R9_0p55to0p85,37.0,40.0,0.9416,0.0005,0,0,0.9416,0.0006,0,4,0.0,0.0005
postBpix,normal,seed,EB_R9_0p55to0p85,40.0,45.0,0.9496,0.0004,0,0,0.9495,0.0004,0,0,0.0001,0.000412
postBpix,normal,seed,EB_R9_0p55to0p85,45.0,50.0,0.9531,0.0009,0,0,0.9527,0.0005,4,4,0.0004,0.000985
postBpix,normal,seed,EB_R9_0p55to0p85,50.0,60.0,0.951,0.001,0,0,0.9533,0.001,0,0,0.0023,0.002508
